time [s],distance [m]
3.647,17.889
3.649,17.973
3.652,17.983
3.654,17.945
3.657,18.011
3.659,18.048
3.662,18.058
3.664,18.077
3.667,18.048
3.669,18.077
3.671,18.095
3.674,18.161
3.676,18.208
3.679,18.161
3.681,18.189
3.684,18.274
3.686,18.236
3.689,18.245
3.691,18.311
3.693,18.274
3.696,18.321
3.698,18.358
3.701,18.377
3.703,18.377
3.706,18.396
3.708,18.433
3.711,18.433
3.713,18.471
3.716,18.480
3.718,18.499
3.720,18.518
3.723,18.555
3.725,18.583
3.728,18.593
3.730,18.658
3.733,18.630
3.735,18.639
3.738,18.639
3.740,18.724
3.742,18.668
3.745,18.743
3.747,18.752
3.750,18.818
3.752,18.799
3.755,18.808
3.757,18.865
3.760,18.893
3.762,18.893
3.764,18.902
3.767,18.958
3.769,18.912
3.772,18.930
3.774,18.987
3.777,18.949
3.779,19.005
3.782,18.996
3.784,18.949
3.787,18.996
3.789,19.005
3.791,19.071
3.794,19.043
3.796,19.118
3.799,19.109
3.801,19.099
3.804,19.165
3.806,19.202
3.809,19.230
3.811,19.202
3.813,19.277
3.816,19.240
3.818,19.230
3.821,19.287
3.823,19.362
3.826,19.399
3.828,19.399
3.831,19.381
3.833,19.437
3.835,19.399
3.838,19.437
3.840,19.568
3.843,19.493
3.845,19.540
3.848,19.568
3.850,19.521
3.853,19.606
3.855,19.596
3.858,19.662
3.860,19.681
3.862,19.671
3.865,19.718
3.867,19.690
3.870,19.737
3.872,19.746
3.875,19.756
3.877,19.775
3.880,19.821
3.882,19.821
3.884,19.812
3.887,19.821
3.889,19.821
3.892,19.840
3.894,19.868
3.897,19.840
3.899,19.859
3.902,19.915
3.904,19.934
3.907,19.943
3.909,19.953
3.911,20.047
3.914,20.000
3.916,20.018
3.919,20.084
3.921,20.075
3.924,20.122
3.926,20.150
3.929,20.159
3.931,20.215
3.933,20.187
3.936,20.215
3.938,20.272
3.941,20.309
3.943,20.290
3.946,20.337
3.948,20.337
3.951,20.356
3.953,20.384
3.955,20.412
3.958,20.412
3.960,20.422
3.963,20.478
3.965,20.469
3.968,20.487
3.970,20.497
3.973,20.544
3.975,20.544
3.977,20.581
3.980,20.609
3.982,20.600
3.985,20.638
3.987,20.638
3.990,20.675
3.992,20.703
3.995,20.703
3.997,20.722
3.999,20.769
4.002,20.788
4.004,20.760
4.007,20.797
4.009,20.797
4.012,20.844
4.014,20.872
4.017,20.863
4.019,20.938
4.021,20.957
4.024,20.994
4.026,20.928
4.029,20.994
4.031,21.003
4.034,21.022
4.036,21.069
4.039,21.050
4.041,21.107
4.043,21.116
4.046,21.144
4.048,21.135
4.051,21.172
4.053,21.163
4.056,21.210
4.058,21.182
4.061,21.219
4.063,21.238
4.065,21.266
4.068,21.285
4.070,21.332
4.073,21.322
4.075,21.351
4.078,21.369
4.080,21.379
4.083,21.416
4.085,21.397
4.088,21.444
4.090,21.482
4.092,21.491
4.095,21.519
4.097,21.519
4.100,21.529
4.102,21.557
4.105,21.576
4.107,21.613
4.110,21.613
4.112,21.660
4.114,21.660
4.117,21.669
4.119,21.679
4.122,21.735
4.124,21.716
4.127,21.735
4.129,21.744
4.132,21.773
4.134,21.773
4.136,21.866
4.139,21.857
4.141,21.904
4.144,21.923
4.146,21.979
4.149,22.007
4.151,22.017
4.154,22.073
